,player,DRAPM,ORAPM,Total_RAPM
407,Alyssa Jimenez,1.2498,2.2055,3.4553
408,Alyssa Latham,4.9246,6.596,11.5206
409,Alyssa Lewis,-2.7164,-3.2658,-5.9822
410,Alyssa Marin,-0.3899,4.308,3.9181
411,Alyssa Moreland,3.7615,-0.6392,3.1223
412,Alyssa Nielsen,-4.4411,-1.0328,-5.474
413,Alyssa Parmer,0.0826,-0.4757,-0.3931
414,Alyssa Phillip,1.0348,0.3452,1.38
415,Alyssa Rossignol,1.942,-2.898,-0.9561
416,Alyssa Sand,1.5491,-0.2727,1.2765
417,Alyssa Staten,-1.3968,-2.2179,-3.6147
418,Alyssa Tarpley,3.8499,-1.7209,2.129
419,Alyssa Ustby,8.2299,3.6825,11.9124
420,Alyssa Williams,-0.8168,0.0983,-0.7186
421,Amaia Jackson,0.122,-0.0575,0.0644
422,Amalie Langer,1.9186,1.0932,3.0119
423,Amanda Ajobiewe,0.9597,0.1893,1.149
424,Amanda Barcello,1.615,0.7322,2.3472
425,Amanda Blake,2.4055,2.6882,5.0937
426,Amanda Edwards,-0.2782,-1.0045,-1.2827
427,Amanda Mitchell,0.1848,-0.0465,0.1382
428,Amanda Muse,-0.3149,3.6247,3.3098
429,Amanda Olinger,2.1362,-0.7478,1.3883
430,Amanda Zeno,-0.0545,0.5534,0.4988
431,Amandine Amorich,-0.2665,0.3842,0.1178
432,Amani Bartlett,0.6449,-2.3831,-1.7382
433,Amani Freeman,-2.3518,1.9693,-0.3825
434,Amani Jenkins,-0.3266,1.269,0.9424
435,Amani Williams,-0.0587,-2.2799,-2.3387
436,Amany Lopez,-1.2327,-2.5064,-3.7391
437,Amarachi Kimpson,2.0112,6.8018,8.813
438,Amarah Streiff,-1.3932,0.5944,-0.7988
439,Amari Bonds,-0.7106,0.5792,-0.1313
440,Amari Conn,0.299,-0.0607,0.2383
441,Amari Davis,0.0587,2.414,2.4727
442,Amari DeBerry,1.2206,-3.432,-2.2114
443,Amari Franklin,-0.3271,-2.6945,-3.0216
444,Amari Robinson,1.8637,5.2028,7.0665
445,Amari Smith,-0.6918,-1.1116,-1.8034
446,Amari Whiting,2.978,4.0952,7.0732
447,Amari Wright,4.8892,4.5826,9.4717
448,Amaria McNear,0.5545,1.3037,1.8582
449,Amaris Baker,-0.5072,3.5249,3.0177
450,Amauri Williams,0.8743,-1.754,-0.8796
451,Amaya Barnes,-0.4311,-0.3176,-0.7487
452,Amaya Battle,4.6423,5.3156,9.9579
453,Amaya Bonner,1.1114,6.7127,7.8241
454,Amaya Brannon,2.4803,-1.657,0.8233
455,Amaya Burch,1.8804,-0.4867,1.3937
