,player,DRAPM,ORAPM,Total_RAPM
274,Alexis Johnson,-2.2148,2.0119,-0.203
275,Alexis Mark,0.8168,6.8234,7.6402
276,Alexis Markowski,3.8808,6.7997,10.6804
277,Alexis Mead,-1.1905,7.5956,6.4051
278,Alexis Parker,-0.3754,-0.4122,-0.7876
279,Alexis Pettis,3.0627,4.4648,7.5276
280,Alexis Reese,-1.5099,-0.3715,-1.8814
281,Alexis Roberts,-0.728,1.0115,0.2835
282,Alexis Rosenfeld,0.415,0.3823,0.7972
283,Alexis Stewart,-1.1949,0.3409,-0.854
284,Alexis Tucker,-0.9129,0.222,-0.6909
285,Alexis Warren,-0.5548,-0.1904,-0.7451
286,Alexis Whitfield,0.3758,2.991,3.3668
287,Alexis Woods,0.2996,0.2166,0.5162
288,Alexius Horne,0.7489,2.5271,3.2759
289,Alexsandra Alvarado,0.6467,3.1198,3.7666
290,Alexsia Rose,-1.7672,4.3004,2.5333
291,Alexsyah Goudeau,-0.108,0.5462,0.4382
292,Alexus Mobley,-1.7532,1.4975,-0.2557
293,Alexus Seaton,-0.1478,-0.7555,-0.9033
294,Alexzeya Brooks,-1.5215,0.6194,-0.9021
295,Ali Bamberger,-3.0229,3.5214,0.4985
296,Ali Berg,-0.7214,2.7378,2.0164
297,Ali Brigham,-2.3245,3.6796,1.3551
298,Ali Hardwell,-0.9446,-0.6034,-1.548
299,Ali Saunders,-1.779,3.9088,2.1298
300,Ali Stephens,-1.5328,-0.095,-1.6278
301,Ali Wetta,-0.8872,1.1978,0.3106
302,Ali Zelaya,-0.2536,4.2595,4.0059
303,Ali'a Matavao,-0.3133,1.7801,1.4668
304,Alia Cordone,0.5272,-0.5924,-0.0653
305,Aliah McWhorter,-3.1522,-1.1977,-4.3499
306,Alice Curman,-2.7669,-1.6748,-4.4417
307,Alice Dart,-0.45,-0.3701,-0.82
308,Alice Recanati,-1.8725,3.6881,1.8157
309,Alicia Blanton,-0.0026,-0.3482,-0.3508
310,Alicia Newell,0.6039,-0.0082,0.5957
311,Alicia Spann,-0.1466,2.6217,2.4751
312,Alicia Tournebize,-0.316,1.037,0.7209
313,Alie Bisballe,-1.1234,1.1484,0.025
314,Alieghya Bartholomew,-3.7383,0.1716,-3.5667
315,Alina Anderson,-0.8874,0.3678,-0.5196
316,Alina Sendar,-1.4158,-1.3984,-2.8143
