,player,DRAPM,ORAPM,Total_RAPM,team
331,Avner Dror,-0.2365,-0.1999,-0.4365,Harvard
332,Aydan Clinton,-0.0627,0.0444,-0.0183,FIU
333,Ayden Carter,-1.9977,1.0794,-0.9183,Detroit Mercy
334,Ayden Davis,0.1237,-0.8674,-0.7437,Wright State
335,Ayden Evans,-0.2202,-0.107,-0.3272,Ohio
336,Ayden Kelley,-0.9367,-0.4192,-1.3559,Arkansas
337,Ayomide Bamisile,-2.6966,-3.0904,-5.7871,ULM
338,Ayouba Berthe,-2.1034,-2.5502,-4.6535,Georgia State
339,Ayuba Bryant,-0.2715,-0.9892,-1.2608,Temple
340,Azavier Robinson,1.6031,2.1469,3.75,Butler
341,BJ Davis,2.645,4.903,7.548,San Diego State
342,BJ Davis-Ray,-2.4383,0.2487,-2.1896,SMU
343,BJ Edwards,1.9845,6.1346,8.1192,SMU
344,BJ Fisher,0.0361,-0.7648,-0.7286,California
345,BJ Kolly,0.6672,-2.8395,-2.1723,UC Riverside
346,BJ Ward,-3.2262,1.9213,-1.3049,Southeast Mo. St.
347,Baba Miller,4.6226,6.1229,10.7455,Cincinnati
348,Babacar Mbengue,-0.3422,-3.5719,-3.9141,Kansas City
349,Babatunde Durodola,-1.0068,0.681,-0.3258,Temple
350,Baboucarr Njie,-1.0901,0.4793,-0.6109,UTSA
351,Bahsil Laster,1.6372,0.7869,2.4241,UT Arlington
352,Bailey Nunn,-0.7804,1.645,0.8646,Cal St. Fullerton
353,Bangot Dak,1.2034,4.3864,5.5897,Colorado
354,Baraka Okojie,-3.1463,3.9515,0.8052,Mercer
355,Baron Smith,-0.2833,-3.3374,-3.6208,Oral Roberts
356,Barrett Loer,-0.5101,-0.0653,-0.5754,Rhode Island
357,Barrington Hargress,-2.111,7.0912,4.9802,Colorado
358,Barry Dunning,-1.5489,4.9781,3.4292,Pittsburgh
359,Barry Evans,-0.2782,2.1965,1.9182,VCU
360,Bashir N'Galang,-1.2697,-2.9113,-4.181,Maine
361,Bastien Rieber,-0.6128,-1.719,-2.3318,Fresno St.
362,Bautista Giralt,-0.1226,-0.1966,-0.3192,UAlbany
363,Baye Fall,-0.3696,-0.8586,-1.2282,Rutgers
364,Baye Ndongo,0.2747,3.5638,3.8385,Georgia Tech
365,Belal El Shakery,-0.6925,-0.2492,-0.9418,New Hampshire
366,Ben Bradford,-3.1632,3.1305,-0.0327,Charlotte
367,Ben Brown,-1.2299,-2.3541,-3.584,Dartmouth
368,Ben Egbo,-0.9683,-1.0648,-2.0331,UC Irvine
369,Ben Eisendrath,-1.4192,-1.7509,-3.1701,Harvard
370,Ben Ezeagu,-0.5387,-2.7022,-3.2409,Southern Ind.
371,Ben Gold,-1.4905,2.2668,0.7763,Marquette
372,Ben Hammond,1.2129,4.7293,5.9422,Virginia Tech
373,Ben Humrichous,2.2545,6.1026,8.3571,Illinois
374,Ben Johnson,-3.0711,3.8633,0.7922,Vermont
375,Ben Michaels,-2.3372,-4.0939,-6.4311,Vermont
376,Ben Nacey,-0.8446,-0.5021,-1.3467,Old Dominion
377,Ben Oosterbaan,0.1055,2.3789,2.4844,St. Thomas (MN)
378,Ben Roseborough,0.3822,0.5467,0.9289,San Jose State
