,player,DRAPM,ORAPM,Total_RAPM,team
514,Arlisha Boston,-0.3595,-1.0491,-1.4086,Hampton
515,Armoni Strozer,0.5037,-0.1758,0.3279,Bradley
516,Arshae Jackson,0.0594,-0.238,-0.1786,Radford
517,Artemis Kouki,-0.1368,1.3464,1.2096,Western Mich.
518,Ary Dizon,-0.2747,-0.2312,-0.5059,CSU Bakersfield
519,Aryana Hicks,0.2311,-1.9467,-1.7156,Niagara
520,Aryss Macktoon,0.274,-0.4374,-0.1634,La Salle
521,Asa Snyder,-0.1257,-0.3518,-0.4775,Furman
522,Ash'a Thompson,-1.1599,0.6602,-0.4997,Houston
523,Asha Parker,-1.0786,-1.0319,-2.1106,Northeastern
524,Asha Phillips,0.6097,-1.0977,-0.488,Idaho
525,Asha Sra,1.571,1.0769,2.6479,Grand Canyon
526,Ashanti Backus,-0.6598,-1.7238,-2.3836,Alcorn
527,Ashanti Barnes,0.7855,2.3026,3.0882,James Madison
528,Ashanti Lynch,1.1869,0.2346,1.4215,UMES
529,Ashara Spruill,0.4212,0.2358,0.657,Texas Southern
530,Ashja Leake,0.8771,-0.5927,0.2844,Southern Miss.
531,Ashlee Harris,-0.2914,0.0781,-0.2134,Bellarmine
532,Ashlee Lewis,-1.5105,-0.2825,-1.793,Cal St. Fullerton
533,Ashlee Locke,1.6477,-1.3596,0.2881,Mercer
534,Ashleigh Connor,-0.0691,0.1139,0.0448,Saint Louis
535,Ashley Austin,-2.0546,-2.316,-4.3706,LIU
536,Ashley Baez,0.1384,1.0826,1.221,FGCU
537,Ashley Banks,-1.4536,-0.6122,-2.0659,Southern Utah
538,Ashley Carrillo,-0.9505,1.4945,0.544,Presbyterian
539,Ashley Chea,0.6863,1.5812,2.2675,Princeton
540,Ashley Chevalier,2.1637,0.0359,2.1995,Texas Tech
541,Ashley Gray,0.6915,-2.9253,-2.2338,Alabama State
542,Ashley Hassett,-0.1031,-0.9932,-1.0963,Eastern Mich.
543,Ashley Hawkins,-3.2561,0.4016,-2.8545,Gardner-Webb
544,Ashley Hiraki,0.5128,2.6842,3.197,Santa Clara
