,player,DRAPM,ORAPM,Total_RAPM,team
321,Armandas Plintauskas,0.8311,-2.343,-1.512,Merrimack
322,Armani Perkins,-0.0437,-0.3127,-0.3564,UMass Lowell
323,Armoni Zeigler,0.7524,-0.5492,0.2032,Saint Peter's
324,Arnas Sakenis,0.5635,0.2059,0.7694,SIUE
325,Arne Osojnik,-1.894,0.9754,-0.9187,Eastern Mich.
326,Arop Arop,0.3227,-0.251,0.0717,Columbia
327,Arrinten Page,0.8926,0.3092,1.2018,Cincinnati
328,Artese Stapleton,1.996,-0.7,1.296,Eastern Ill.
329,Arthur Kaluma,2.8139,2.9579,5.7717,Texas
330,Arthur Tate,-5.306,-4.2929,-9.5989,Mississippi Val.
331,Arturo Dean,1.6421,1.5435,3.1856,Oklahoma State
332,Aryan Arora,-0.3176,-0.172,-0.4897,Manhattan
333,Asa Newell,0.6448,1.4759,2.1206,Georgia
334,Asa Thomas,-0.5394,-0.0159,-0.5553,Clemson
335,Asher Boney,0.8569,-0.938,-0.0811,Southeastern La.
336,Asher Woods,0.4914,0.801,1.2924,Tulane
337,Ashton Hardaway,1.5233,0.203,1.7263,Saint Mary's (CA)
338,Ashton Reese,0.2078,-0.0709,0.137,UMBC
339,Ashton Smith,-0.6454,0.4002,-0.2451,South Dakota
340,Ashton Williamson,-0.1654,-1.1546,-1.32,FIU
341,Asim Jones,1.4666,1.0625,2.5291,FIU
342,Asjon Anderson,0.5683,-0.0884,0.4799,Queens (NC)
343,Assane Diop,1.0175,-0.4347,0.5828,Colorado
344,Atiki Ally Atiki,2.295,0.8505,3.1455,New Mexico
345,Atin Wright,2.5919,1.1403,3.7322,North Texas
346,Atticus Schuler,0.1332,-0.1094,0.0238,Dayton
347,Aubin Gateretse,1.0371,1.9913,3.0284,Utah State
348,Augustas Marciulionis,3.137,2.6236,5.7606,Saint Mary's (CA)
349,Augustinas Kiudulas,-0.4895,-0.1481,-0.6377,VMI
350,Augusto Cassia,0.4922,0.7049,1.1971,Butler
351,Augustus Gerhart,0.9866,-0.2249,0.7617,Penn
352,Austin Benigni,0.7647,-0.0512,0.7135,Navy
353,Austin Brooks,0.3663,-0.0195,0.3468,Jacksonville State
354,Austin Green,0.7742,0.0267,0.8008,Texas State
355,Austin Harvell,-0.5425,-0.6998,-1.2423,Alabama A&M
356,Austin Herro,0.1343,-0.166,-0.0317,South Carolina
357,Austin Hunt,0.1878,0.9652,1.153,Harvard
358,Austin Johnson,-1.5844,-0.7218,-2.3061,Long Beach State
359,Austin Maurer,-0.3476,0.4849,0.1373,Grand Canyon
360,Austin Montgomery,-0.642,0.2986,-0.3433,Georgetown
361,Austin Nunez,0.1659,0.1177,0.2836,Arizona State
362,Austin Parks,0.2898,0.6504,0.9402,Ohio State
363,Austin Patterson,0.1908,0.5953,0.7861,Montana
364,Austin Rapp,-0.4386,0.5628,0.1242,Portland
365,Austin Swartz,-3.4657,0.7182,-2.7474,Miami (FL)
366,Austin Villarreal,-0.3754,-0.2297,-0.6051,Milwaukee
367,Austin Williams,-0.8048,-0.5023,-1.3071,Elon
368,Avantae Parker,0.2608,-0.4707,-0.2099,Ga. Southern
369,Avery Brown,-1.7359,2.1212,0.3853,Columbia
370,Avery Felts,0.9592,-0.2308,0.7284,Arkansas State
371,Avishai Lowery,0.0167,0.0774,0.0941,Jacksonville State
372,Ayden Davis,-0.2507,-0.2763,-0.527,Wright State
373,Ayden Evans,-0.8309,-0.9501,-1.781,Ohio
374,Ayden Kelley,0.1077,-0.127,-0.0193,Arkansas
375,Ayodele Taiwo,1.1147,-2.5597,-1.445,Howard
376,Ayomide Bamisile,-0.2313,0.0082,-0.2231,Utah
377,Azavier Johnson,0.0011,-0.3276,-0.3266,New Mexico State
378,Aziz Bandaogo,1.7747,2.5437,4.3184,Cincinnati
379,Azmar Abdullah,0.4236,-0.3668,0.0569,Boston U.
380,B Artis White,-0.3659,-0.7155,-1.0813,Richmond
381,BB Knight,-0.4702,-0.1271,-0.5973,Lamar University
382,BJ Davis,2.1018,2.5917,4.6935,San Diego State
383,BJ Edwards,2.7764,2.921,5.6974,SMU
384,BJ Freeman,0.8925,1.2233,2.1157,Arizona State
385,BJ Kolly,0.9041,-0.3215,0.5827,Montana State
386,BJ Omot,0.9088,0.2576,1.1665,California
387,BJ Ward,1.7493,0.6742,2.4235,Southeast Mo. St.
388,Baba Miller,1.0565,3.824,4.8805,Fla. Atlantic
389,Babacar Diallo,1.2122,0.9511,2.1633,Kansas City
390,Babacar Faye,2.4924,-0.0836,2.4088,Western Ky.
391,Babacar Mbengue,0.1387,-0.0395,0.0993,UTEP
392,Babatunde Durodola,-0.8852,0.6033,-0.2818,Temple
393,Baboucarr Njie,0.2743,1.4532,1.7275,UTSA
394,Bailey Nunn,-0.294,-1.7384,-2.0324,Sacramento St.
395,Bangot Dak,-0.0527,-0.1755,-0.2282,Colorado
396,Barrington Hargress,-0.5545,2.5314,1.9769,UC Riverside
397,Barry Evans,1.8261,1.4989,3.325,Bryant
398,Bash Wieland,2.2055,1.7554,3.961,Chattanooga
399,Basheer Jihad,1.6078,2.2158,3.8236,Arizona State
400,Bautista Giralt,0.0559,-0.2352,-0.1793,UAlbany
401,Baye Fall,-0.7457,-0.064,-0.8097,Kansas State
402,Baye Ndongo,3.5062,-0.509,2.9972,Georgia Tech
403,Baylor Hebb,0.5571,0.3919,0.949,UTEP
404,Beau Becker,-0.937,-1.2666,-2.2036,Air Force
405,Belal El Shakery,0.2247,0.0522,0.2769,Wofford
406,Ben Bowen,0.1135,0.2339,0.3474,Denver
407,Ben Bradford,-0.1113,1.6714,1.5601,Charlotte
408,Ben Brown,0.7026,0.5979,1.3004,Dartmouth
409,Ben Burnham,-0.0751,0.2397,0.1646,Virginia Tech
410,Ben Callahan-Gold,-0.1326,0.1798,0.0472,Binghamton
411,Ben Capron,0.7614,-0.0393,0.7221,Holy Cross
412,Ben Defty,0.6379,-0.3666,0.2714,Boston U.
413,Ben Egbo,0.09,-0.9833,-0.8933,UC Irvine
414,Ben Eisendrath,0.6707,-0.7038,-0.033,Harvard
415,Ben Estis,-0.0387,-0.1144,-0.1532,Ohio
416,Ben Ezeagu,0.5715,0.1976,0.7691,App State
417,Ben Fox,0.5241,0.1356,0.6597,Central Ark.
418,Ben Gold,2.469,1.7573,4.2263,Marquette
419,Ben Gregg,0.9207,3.3386,4.2593,Gonzaga
420,Ben Hammond,0.188,-0.3271,-0.1391,Virginia Tech
421,Ben Hendriks,0.8752,0.1264,1.0015,Ball State
422,Ben Humrichous,1.2647,2.334,3.5986,Illinois
423,Ben Johnson,-1.673,0.1812,-1.4917,Bellarmine
424,Ben Knostman,1.8831,1.8339,3.7171,Lehigh
