,player,DRAPM,ORAPM,Total_RAPM
221,Alaaeddine Boutayeb,0.2828,-1.0554,-0.7726
222,Albe Evans,0.8693,-1.0357,-0.1664
223,Albert Vargas,0.1159,1.8946,2.0105
224,Alden Applewhite,-0.5815,4.4193,3.8379
225,Alec Blair,0.2242,0.1018,0.326
226,Alec Millender,-0.1902,1.2378,1.0476
227,Alec Oglesby,0.6494,1.0288,1.6783
228,Alec Pfriem,1.8766,-0.8522,1.0245
229,Alec Squires,1.4179,-0.5438,0.8741
230,Alec Woodard,-0.4608,-1.0967,-1.5575
231,Alejandro Aviles,2.9702,-1.0594,1.9108
232,Alejandro Ralat,-0.1898,0.4578,0.2679
233,Alejandro Vasquez,0.6316,1.0383,1.6699
234,Alek Delev,0.2857,-0.1657,0.12
235,Aleks Alston,-0.6078,-2.5094,-3.1172
236,Aleks Szymczyk,0.2366,-4.6106,-4.374
237,Aleksa Lekic,0.1515,-0.3554,-0.2038
238,Aleksa Ristic,-1.0819,-0.2664,-1.3483
239,Aleksa Vlajic,0.1892,0.2386,0.4277
240,Aleksandar Gavalyugov,-0.2158,0.6653,0.4495
241,Aleksander Pachucki,-3.2825,-1.3847,-4.6672
242,Aleksas Bieliauskas,-0.3503,4.2148,3.8645
243,Aleksej Kostic,-0.4519,0.5123,0.0604
244,Alem Fejzic,0.7606,-1.8191,-1.0585
245,Alem Huseinovic,1.656,4.3781,6.0341
246,Alex Anamekwe,-0.6882,-0.9358,-1.624
247,Alex Anderson,-3.403,0.3313,-3.0716
248,Alex Andrews,-0.0969,-0.1001,-0.197
249,Alex Bates,2.7254,-2.9377,-0.2122
250,Alex Bossinakis,0.4604,0.1853,0.6457
251,Alex Bruskotter,0.2822,1.9555,2.2377
252,Alex Capitano,0.1412,-0.3183,-0.1771
253,Alex Chaikin,1.9782,4.0263,6.0045
254,Alex Condon,6.6661,4.3335,10.9995
255,Alex Cotton,-1.3338,0.9968,-0.337
256,Alex Crawford,-0.8958,-1.7157,-2.6115
257,Alex Daniels,0.168,-0.1216,0.0464
258,Alex Doyle,-2.4311,-0.3118,-2.7428
259,Alex Ducas,4.4096,1.4328,5.8424
260,Alex Dupre,0.3529,1.0565,1.4094
261,Alex Engro,0.0638,-0.9372,-0.8734
262,Alex Farley,0.0777,0.0818,0.1596
263,Alex Garcia,-1.6169,0.0969,-1.52
264,Alex Hemenway,0.583,0.0408,0.6238
265,Alex Holt,2.1476,1.765,3.9126
266,Alex Horiuk,-0.1859,-3.1537,-3.3395
267,Alex Huguet Carrasco,2.0055,-0.5425,1.4631
268,Alex Huibregtse,-0.0313,5.7219,5.6906
269,Alex Karaban,5.1944,9.4854,14.6798
270,Alex Kazanecki,-1.5826,4.429,2.8464
271,Alex Klatsky,-0.679,-0.5449,-1.2239
272,Alex Koch,1.1129,-0.0605,1.0524
273,Alex Kotov,0.6008,-5.2422,-4.6414
274,Alex Kovatchev,1.8908,-1.3051,0.5858
275,Alex Leiba,1.1203,0.0173,1.1376
276,Alex Lloyd,0.1603,-0.9586,-0.7983
277,Alex Massung,-0.7622,0.9261,0.1639
278,Alex McFadden,-1.2237,0.6887,-0.535
279,Alex Merkviladze,2.198,3.6496,5.8476
280,Alex Molofeev,0.0328,-2.5045,-2.4717
281,Alex Nokes,0.6165,0.6502,1.2667
282,Alex Nunnally,-0.2231,-0.7551,-0.9782
283,Alex Odam,2.3527,-0.5765,1.7762
284,Alex Olander,0.1027,-0.1354,-0.0327
285,Alex Raiford,-0.0453,1.5903,1.545
286,Alex Schumacher,2.8931,0.0187,2.9118
287,Alex Sobel,2.0312,1.1499,3.1811
288,Alex Steen,-0.529,3.2375,2.7085
289,Alex Tavares,0.6098,-0.505,0.1048
290,Alex Tchikou,-0.0245,-0.7563,-0.7808
291,Alex Tew,2.2543,-0.2569,1.9974
292,Alex Timmerman,2.5847,1.6507,4.2354
293,Alex Tsynkevich,-1.2095,-4.6683,-5.8778
294,Alex Vertus,0.4591,0.4813,0.9404
295,Alex Wade,0.8078,-1.6582,-0.8505
296,Alex Wilkins,1.3132,2.7266,4.0398
297,Alex Williams,-1.0439,2.7657,1.7218
298,Alex Woodring,-0.1254,0.0484,-0.077
299,Alexander Daushvili,0.3094,0.3586,0.6679
300,Alexander Lesburt,2.2648,3.955,6.2198
301,Alexander Nwagha,-0.1566,-3.826,-3.9827
302,Alexander Payne,2.5815,1.2033,3.7848
303,Alexander Richardson,-1.4965,0.1944,-1.3021
304,Alexis Marmolejos,2.1394,0.6695,2.8089
305,Alexis Reyes,0.5228,1.0431,1.566
306,Alexis Yetna,-0.1837,0.2076,0.0239
307,Alfred Worrell,-1.3779,0.2423,-1.1356
308,Alfredo Addesa,-0.2859,1.5197,1.2338
309,Alfredo Boglio,3.9905,-2.5847,1.4058
310,Ali Ali,1.6706,1.9475,3.6181
311,Ali Assran,-1.036,-0.651,-1.687
312,Ali Dibba,1.4025,3.5028,4.9053
313,Ali Ragab,1.9538,1.3505,3.3044
314,Alier Maluk,1.7909,-1.0893,0.7016
315,Alijah Adem,0.8664,0.303,1.1694
316,Alijah Arenas,0.6162,1.0824,1.6986
317,Alijah Curry,1.1228,0.199,1.3219
318,Alijah Martin,2.5886,4.5442,7.1328
319,Alimamy Koroma,0.8335,-1.9735,-1.1399
320,Aliou Cisse,-1.5823,-0.2395,-1.8219
321,All Wright,0.1528,3.8984,4.0511
322,Allan Jeanne-Rose,1.9013,1.2408,3.1421
323,Allen Betrand,-0.5053,3.1642,2.6589
324,Allen David Mukeba,0.8264,2.1721,2.9985
325,Allen Flanigan,4.1096,2.0215,6.1312
326,Allen Graves,-1.1897,4.4416,3.2519
327,Allen Mukeba,3.9233,3.3621,7.2854
328,Allen Myers,-0.2167,-0.266,-0.4827
329,Allen Powell,0.7605,0.7498,1.5103
330,Allen Strothers,2.2428,1.9011,4.1439
331,Allen Udemadu,0.3984,-2.788,-2.3896
332,Alliou Fall,5.8409,-0.8862,4.9547
333,Almar Atlason,1.5542,2.0637,3.6179
334,Alon Michaeli,-1.9027,2.939,1.0364
335,Alonso Faure,1.3721,-3.1164,-1.7444
336,Alonzo Dodd,1.2283,3.9664,5.1947
337,Alonzo Gaffney,1.4675,1.9976,3.4651
338,Alpha Chibambe,-0.7793,1.3588,0.5795
339,Alphonzo Billups,-1.4182,-0.2791,-1.6973
340,Alston Andrews,3.171,-3.4687,-0.2977
341,Alston Mason,2.1524,2.3231,4.4755
342,Alton Hamilton,1.2121,4.4929,5.705
343,Alvaro Cardenas,1.3952,5.1957,6.5909
344,Alvaro Folgueiras,3.9219,4.2395,8.1614
345,Alvin Loving,1.0149,0.8948,1.9097
346,Alvin Stredic,-1.2363,-3.7776,-5.0139
347,Alvin Tumblin,0.253,0.056,0.309
348,Always Wright,0.9042,0.2172,1.1214
349,Aly Khalifa,3.5265,3.9012,7.4277
350,Aly Tounkara,5.8892,-0.2629,5.6263
351,Alyn Breed,1.3202,-1.2919,0.0282
352,Ama Sow,0.2786,0.6106,0.8892
353,Amaan Sandhu,0.2755,0.2974,0.5728
354,Amadou Doumbia,1.7812,-0.3752,1.406
355,Amael L'Etang,3.0674,1.4672,4.5346
356,Amahrie Simpkins,2.1929,0.3417,2.5346
357,Amani Drummond,0.7617,-0.9465,-0.1848
358,Amani Hansberry,4.1738,7.296,11.4697
359,Amani Lyles,1.4533,3.7447,5.198
360,Amanze Ngumezi,2.7382,-3.6211,-0.8829
361,Amar Amkou,-0.5641,3.6716,3.1076
362,Amar Augillard,-1.2535,-0.9179,-2.1714
363,Amar Kuljuhovic,0.4546,2.6065,3.061
364,Amar'e Marshall,-0.8928,2.9052,2.0125
365,Amarco Doyle,0.3906,0.4129,0.8035
366,Amare Allen,-0.1935,-5.0389,-5.2324
367,Amare Bynum,0.8342,4.1247,4.9589
368,Amare Campbell,0.1502,-1.2081,-1.0579
369,Amaree Abram,1.3029,1.7673,3.0702
370,Amaree Brown,-3.728,-0.3132,-4.0412
371,Amari Allen,0.2421,4.8474,5.0895
372,Amari Evans,2.6494,1.0608,3.7102
373,Amari Jedkins,0.6358,-0.6916,-0.0557
374,Amari Kelly,1.8846,1.5571,3.4417
375,Amari McCottry,4.618,0.4833,5.1013
376,Amari Reed,4.3783,2.1709,6.5492
377,Amari Stroud,3.2582,-0.0539,3.2043
378,Amari Williams,5.5453,3.4411,8.9863
379,Amarion Dickerson,2.7272,-0.284,2.4433
380,Amarion Nimmers,0.3035,-1.0011,-0.6975
381,Amarion Savage,0.0451,-0.0933,-0.0482
382,Amarr Knox,-0.3827,4.7308,4.3481
383,Amarri Monroe,3.7179,3.1027,6.8206
384,Amdy Ndiaye,0.6256,0.864,1.4896
385,Amere Brown,-1.2831,-0.6172,-1.9003
386,Ametri Moss,1.7686,0.6128,2.3814
387,Amier Ali,1.1169,3.7525,4.8694
388,Amir Arrington,-0.8176,-1.4868,-2.3045
389,Amir Jenkins,-1.9079,0.9113,-0.9966
390,Amir Lindsey,0.0826,1.804,1.8866
391,Amir Nesbitt,-0.0789,2.6619,2.583
392,Amir Shaheed,0.356,0.0918,0.4479
393,Amir Taylor,4.8832,2.6596,7.5428
394,Amir Williams,1.4413,0.1799,1.6212
395,Amire Robinson,1.3546,-2.3438,-0.9892
396,Amiri Stewart,1.3093,3.0316,4.3409
397,Ammaar Balagam,-0.1743,0.1446,-0.0297
398,Amont'e Allen-Johnson,1.0603,0.0948,1.1552
399,Amoro Lado,0.1753,-1.2643,-1.0891
400,Amsal Delalic,1.3458,1.7007,3.0464
401,Anakin Brown,-0.4008,0.1873,-0.2135
402,Anastasios Rozakeas,-2.7514,-1.7372,-4.4887
403,Anderson Kopp,-0.046,3.8278,3.7817
404,Anderson Mirambeaux,-1.4415,1.0185,-0.423
405,Andersson Garcia,5.7362,7.2101,12.9463
406,Andre Curbelo,1.9116,1.5281,3.4398
407,Andre Henry,3.5695,3.7116,7.2811
408,Andre Johnson,-3.4892,-1.9626,-5.4518
409,Andre Lorentsson,-1.6774,4.2501,2.5727
410,Andre Mills,0.4888,3.9566,4.4454
411,Andre Mulibea,1.7972,-0.331,1.4662
412,Andre Nunley,2.5867,1.5231,4.1098
413,Andre Screen,3.1899,-0.145,3.045
414,Andre Snoddy,-2.781,3.8489,1.0679
415,Andre Warren,-0.0962,0.0,-0.0962
416,Andre Washington,1.1558,0.4638,1.6196
417,Andre Weir,-1.0583,-1.8133,-2.8716
418,Andre Young,2.445,-0.48,1.965
419,Andrea Holden,2.0496,-1.3546,0.6951
420,Andrei Savrasov,2.0853,-0.6494,1.4359
421,Andrej Jakimovski,4.6905,4.2918,8.9823
422,Andrej Kostic,-3.7803,4.57,0.7896
423,Andrej Shoshkikj,0.6482,-0.7203,-0.0721
424,Andrej Stojakovic,2.0902,2.7914,4.8816
425,Andrell Burton,1.1922,0.0664,1.2586
426,Andreo Ash,-0.261,-1.2216,-1.4826
427,Andres Burney,2.3635,2.7217,5.0852
428,Andres Fulgencio,1.787,0.9914,2.7784
429,Andres Marrero,-0.0857,2.287,2.2012
430,Andrew Akuchie,1.411,-2.9201,-1.5091
431,Andrew Alia,1.5717,0.8117,2.3834
432,Andrew Austin,-0.6865,0.5447,-0.1418
433,Andrew Bailey,0.1312,-0.4362,-0.3049
434,Andrew Ball,0.9707,3.2318,4.2025
435,Andrew Canda,0.1274,-0.3998,-0.2723
436,Andrew Carr,5.0054,7.6816,12.6871
437,Andrew Cook,-0.8632,1.8992,1.036
438,Andrew Crawford,0.2677,-0.1092,0.1585
439,Andrew Henderson,0.0726,0.8092,0.8818
440,Andrew Holifield,5.1726,3.2261,8.3988
441,Andrew Hurley,1.0781,-0.1992,0.879
442,Andrew King,-1.6431,3.1764,1.5333
443,Andrew Laczkowski,0.4145,1.446,1.8605
444,Andrew Latiff,-0.7171,-0.5187,-1.2358
445,Andrew Mayock,-0.0903,0.1032,0.0129
446,Andrew McConnell,0.5591,0.8201,1.3792
447,Andrew McKeever,3.3261,1.7745,5.1006
448,Andrew McKenna,0.6401,-0.0789,0.5612
449,Andrew Meadow,-1.1113,4.6482,3.5369
450,Andrew Morgan,0.3811,-1.171,-0.79
451,Andrew Nagy,-0.4357,1.1623,0.7267
452,Andrew Okafor,-0.1888,-0.1666,-0.3554
453,Andrew Osasuyi,2.5882,1.9471,4.5353
454,Andrew Patnode,0.9366,-0.6933,0.2433
455,Andrew Phillips,-0.1251,2.0007,1.8757
456,Andrew Rohde,0.3277,3.0694,3.3971
457,Andrew Sineway,-0.1015,0.4017,0.3002
458,Andrew Taylor,0.7278,2.2402,2.9679
459,Andrew Welage,2.3455,3.6538,5.9993
460,Andrew Wells,-0.144,-1.2311,-1.3752
461,Andrew Younan,1.3634,0.2364,1.5998
462,Andrija Bukumirovic,0.015,4.2567,4.2717
463,Andrija Grbovic,1.1754,0.2164,1.3918
464,Andrija Jelavic,1.421,0.9627,2.3836
465,Andrija Vukovic,0.6946,1.4419,2.1365
466,Andrin Njock,0.7954,0.1932,0.9886
467,Andy Barba,-0.0606,-0.4011,-0.4617
468,Andy Christos,-0.6354,-0.4072,-1.0425
469,Andy Johnson,2.1243,2.1042,4.2285
470,Andy Sigiscar,2.9097,-2.4266,0.4831
471,Andy Stefonowicz,1.2965,5.1344,6.4309
472,Aneek Patil,-0.2923,0.1497,-0.1426
473,Angel Montas,0.6596,-0.5143,0.1452
474,Angelo Brizzi,-1.7283,3.9252,2.1969
475,Angelo Ciaravino,1.7722,4.8515,6.6238
476,Angelo Kambala,-3.6319,-0.8008,-4.4328
477,Angelo Stuart,-0.4141,-0.7831,-1.1972
478,Angelo Winkel,2.4403,-1.3283,1.1119
479,Angok Anyang,0.5132,-0.3369,0.1763
480,Anias Futrell,-0.4126,0.7886,0.376
481,Aniwaniwa Tait-Jones,3.8135,6.3002,10.1137
482,Annor Boateng,2.2067,0.0061,2.2128
