,player,DRAPM,ORAPM,Total_RAPM
365,Amarco Doyle,-0.006,0.5751,0.5691
366,Amare Allen,-2.2038,-4.9367,-7.1405
367,Amare Bynum,0.3261,4.8354,5.1615
368,Amare Campbell,-0.1897,-1.3064,-1.4961
369,Amaree Abram,-0.1952,2.27,2.0748
370,Amaree Brown,-4.5552,-0.294,-4.8492
371,Amari Allen,-0.0374,6.5464,6.509
372,Amari Evans,3.0112,2.4021,5.4133
373,Amari Jedkins,-0.237,-1.1641,-1.4011
374,Amari Kelly,0.4883,2.4506,2.939
375,Amari McCottry,2.9027,0.6674,3.5701
376,Amari Reed,2.5612,0.4865,3.0477
377,Amari Stroud,0.9284,-1.6174,-0.6891
378,Amari Williams,4.5287,5.9246,10.4533
379,Amarion Dickerson,1.6138,1.7436,3.3574
380,Amarion Nimmers,-0.5887,-0.4713,-1.0599
381,Amarion Savage,-1.2128,-1.3341,-2.547
382,Amarr Knox,-2.5632,5.2242,2.6609
383,Amarri Monroe,0.1437,5.7717,5.9154
384,Amdy Ndiaye,0.0259,-0.084,-0.0581
385,Amere Brown,-1.1586,-0.642,-1.8006
386,Ametri Moss,-1.4583,0.8921,-0.5662
387,Amier Ali,-0.4667,4.0516,3.5849
388,Amir Arrington,-0.6913,-0.454,-1.1453
389,Amir Jenkins,-0.7151,-0.7847,-1.4998
390,Amir Lindsey,-3.6449,4.273,0.6281
391,Amir Nesbitt,-2.5934,1.9295,-0.6639
392,Amir Shaheed,0.0254,0.0512,0.0766
393,Amir Taylor,1.9731,3.3849,5.358
394,Amir Williams,0.6914,-0.3066,0.3848
395,Amire Robinson,-0.1092,-0.4671,-0.5763
396,Amiri Stewart,0.2344,2.8368,3.0712
397,Ammaar Balagam,-0.1937,-0.0143,-0.208
398,Amont'e Allen-Johnson,0.3526,-0.6588,-0.3062
399,Amoro Lado,-0.6513,-0.9967,-1.648
400,Amsal Delalic,0.2404,0.8867,1.1271
401,Anakin Brown,-0.7222,-0.9487,-1.6709
402,Anastasios Rozakeas,-3.2259,-1.6694,-4.8953
403,Anderson Kopp,-1.3198,6.0425,4.7227
404,Anderson Mirambeaux,-1.8636,1.5448,-0.3188
405,Andersson Garcia,3.5825,8.4488,12.0313
406,Andre Curbelo,-0.4019,0.9806,0.5787
407,Andre Henry,0.5621,4.5704,5.1325
408,Andre Johnson,-2.9399,-0.7513,-3.6912
409,Andre Lorentsson,-3.5694,3.9582,0.3889
410,Andre Mills,-1.4653,5.1685,3.7033
411,Andre Mulibea,-1.0388,0.3182,-0.7206
412,Andre Nunley,1.543,0.987,2.5301
413,Andre Screen,1.6167,1.1772,2.7939
414,Andre Snoddy,-4.256,3.6088,-0.6472
415,Andre Warren,-0.0888,-0.0355,-0.1243
416,Andre Washington,-1.9534,0.1292,-1.8241
417,Andre Weir,-0.6896,-0.3867,-1.0764
418,Andre Young,-0.1416,-2.7127,-2.8543
419,Andrea Holden,0.4153,-0.1133,0.302
420,Andrei Savrasov,1.3057,1.2501,2.5558
421,Andrej Jakimovski,1.6468,5.9629,7.6097
422,Andrej Kostic,-3.0972,3.4452,0.348
423,Andrej Shoshkikj,-0.7145,0.2422,-0.4723
424,Andrej Stojakovic,-1.3232,4.8324,3.5092
425,Andrell Burton,0.4778,0.2274,0.7052
426,Andreo Ash,-0.395,-0.637,-1.0321
427,Andres Burney,-0.1463,2.7547,2.6084
428,Andres Fulgencio,0.4685,0.9939,1.4623
429,Andres Marrero,-2.3663,3.1004,0.7341
430,Andrew Akuchie,-0.711,-0.5022,-1.2132
431,Andrew Alia,-1.3001,2.317,1.0169
432,Andrew Austin,-2.1006,-1.3194,-3.42
433,Andrew Bailey,-0.4159,-0.6598,-1.0757
434,Andrew Ball,-1.5247,3.0466,1.5219
435,Andrew Canda,-0.183,-0.2516,-0.4346
436,Andrew Carr,2.5766,8.9796,11.5562
437,Andrew Cook,-2.749,4.5521,1.8031
438,Andrew Crawford,0.0367,0.1773,0.214
439,Andrew Henderson,-2.6922,4.3058,1.6135
440,Andrew Holifield,2.2418,5.0836,7.3254
441,Andrew Hurley,0.1947,-0.1421,0.0525
442,Andrew King,-4.199,2.8056,-1.3933
443,Andrew Laczkowski,-0.9026,2.5951,1.6925
444,Andrew Latiff,-0.6179,-0.5454,-1.1633
